category,name,forkedFrom,tvl,chain
Algo-Stables,Pegasusdollar,['Tomb Finance'],14860.082322997388,Cronos
Dexes,SafeSwap,['Uniswap V2'],14801.827378167474,Multi-Chain
Lending,Brainiac Finance,['Compound'],14709.134599674524,GodwokenV1
Dexes,YieldFields,['Uniswap V2'],14680.050697006653,Binance
Indexes,Axia Protocol,,14678.576142229707,Multi-Chain
Dexes,Kinesis Labs,['Saddle Finance'],14538.605949023578,Evmos
Dexes,TiFi,['Uniswap V2'],14534.143682047732,Binance
Yield,Structured LSD,,14250.637359582232,Ethereum
Dexes,ArbiSwap,['Uniswap V2'],14206.63340343171,Arbitrum
Dexes,SMBSwap V3,['Uniswap V3'],14202.512736820283,Binance
Dexes,BossSwap,['Uniswap V2'],14189.113417095428,Harmony
Dexes,Sharky Swap,['Uniswap V2'],14121.963840438306,Arbitrum
Yield,Lachain Yield Market,,14089.460773900002,Lachain
Dexes,Qilin,,14033.188623,Ethereum
Yield,Zabu Finance,['Autofarm'],14029.970013524702,Avalanche
Yield,PolyShield,,13921.131617486062,Polygon
Yield,Gaj Finance,,13849.860939575181,Multi-Chain
Yield,Newland,,13764.136107615948,Multi-Chain
Dexes,Kuu Finance,,13637.111827906927,Avalanche
RWA,NAOS Finance,,13605.700200209836,Multi-Chain
Dexes,PoWSwap,['Uniswap V2'],13540.001559257224,EthereumPoW
Dexes,Phoenix DEX,,13473.038524927797,Terra2
Dexes,OpenSwap,['Uniswap V2'],13457.955206367455,Harmony
Algo-Stables,OpenDAO,['Compound'],13393.054442109378,Multi-Chain
Dexes,SugarSwap,['Uniswap V2'],13349.972692131207,Arbitrum
Dexes,HoustonSwap,,13307.794630606599,Aptos
Dexes,CorgiSwap,['Uniswap V2'],13054.810070466545,Binance
Dexes,CowSwap smartBCH,['Uniswap V2'],12872.60173005825,smartBCH
Prediction Market,Debets,,12696.312140127398,Multi-Chain
Dexes,Versa Finance,['Uniswap V2'],12695.842052037562,Astar
Dexes,Shiba Fantom,['Uniswap V2'],12635.521862607713,Fantom
Dexes,Tegro Finance,,12607.77783673122,TON
Farm,LSDx Farm,,12598.16837292625,Ethereum
Prediction Market,Polkamarkets,,12475.121085022516,Multi-Chain
Cross Chain,Spherium,,12366.231941207881,Multi-Chain
Dexes,Anedak,,12312.067450105907,Kadena
Yield,Farmtom,,12301.879085218407,Fantom
Indexes,Factor,,12055.887179004743,Arbitrum
Yield,Squid Stake,['Uniswap V2'],11892.412307463812,Binance
Dexes,Sifchain,,11819.549342657345,Sifchain
Derivatives,Minerva,['GMX'],11736.267252165344,Optimism
Derivatives,Chaotic Finance,,11710.893028033122,Moonriver
Dexes,Alligator,['Uniswap V2'],11659.583759698042,Avalanche
Dexes,KryptoDex,['Uniswap V2'],11636.292076151263,Cronos
Algo-Stables,Creditum,,11609.16591050575,Fantom
Liquid Staking,aSOL,,11576.537234599069,Solana
Farm,Koala Defi,['Goose Finance'],11546.564118656546,Multi-Chain
Yield Aggregator,Draco Force,,11515.603114826352,Fantom
Dexes,MonoX,,11436.863678702532,Multi-Chain
Derivatives,Voodoo Trade,['GMX'],11067.786819052622,Fantom
Yield,Umami Finance,,11049.435383,Arbitrum
Yield,Sharpe Magnum,,10979.177844682838,Ethereum
Dexes,Future Swap,,10956.666181261762,Findora
Yield,Flashstake OLD,['Uniswap V2'],10944.993792,Ethereum
Dexes,DDDX,,10912.509897991396,Binance
Yield,Raven,,10869.048063486809,Fantom
Dexes,ETCswap,['Uniswap V2'],10679.885289759193,EthereumClassic
Dexes,Frogge.Finance,['Uniswap V2'],10665.786936396613,EOS EVM
Yield,StormSwap,,10662.862358208049,Multi-Chain
Dexes,SWAPP,['Uniswap V2'],10560.27932144453,Cronos
Dexes,ArenaSwap,,10537.044155137753,Binance
Yield,The Grand Banks,,10443.482093899462,Multi-Chain
Dexes,Mercurity,,10430.292203024435,Ethereum
Dexes,BeGlobal Finance,,10309.586051248538,Binance
CDP,Aquarius,['Liquity'],10218.23602451886,Fantom
Dexes,Shibance,['Uniswap V2'],10202.10894571441,Multi-Chain
Farm,FuryLabs Finance,['Uniswap V2'],10181.499141428498,Fantom
Dexes,StarkEx,,10165.09846491179,Starknet
Synthetics,SynthEx,,10077.54218925142,Arbitrum
Dexes,Satin Exchange,['Solidly'],10020.716128400332,Polygon
Yield,Banksy Farm,,9940.778409658975,Avalanche
Indexes,BiShares,['Indexed Finance'],9851.2347586065,Multi-Chain
Yield,Tempus Finance,,9828.848469824174,Multi-Chain
Yield,Eternal Finance,,9717.790008485697,Aptos
Yield,BorgSwap,,9700.643485734403,Multi-Chain
Yield Aggregator,Spiral Finance,,9693.482631667297,Fantom
Yield,Sapphire Defi,,9691.925669901606,Fantom
Dexes,VITCSwap,,9638.254041886712,Vite
Lending,LendHub,['Compound'],9547.259393700575,Heco
Synthetics,Symblox,,9445.708653543408,Velas
Lending,Edge Protocol,,9420.150665804551,Terra
Services,Powaa Protocol,,9381.78601007341,Ethereum
Dexes,Hades Swap,['Uniswap V2'],9376.441992593129,Polis
Dexes,Neuronswap,['Uniswap V2'],9160.575034876947,Klaytn
Yield,Skeleton Finance,,8952.998909201595,Fantom
Yield,PolyYeld Finance,,8941.402447373262,Polygon
Dexes,Drachma,['Shell Protocol'],8916.769574,Metis
Dexes,Embr Finance,['Balancer'],8905.263564582117,Avalanche
Lending,Scallop,,8894.899462884656,Multi-Chain
Derivatives,Logium,,8868.839528507999,Ethereum
Dexes,CryptoSwap,['Uniswap V2'],8741.255042114228,Binance
Prediction Market,Prophet,,8602.443973578998,Obyte
Yield,OliveDAO,,8597.148578020557,Polygon
Dexes,Swaprum,,8573.129592739619,Arbitrum
