category,protocol_name,num_forks,total_tvl,tvl_orig,tvl_forks,forks_names
Lending,Trava Finance,0,136716.25064729224,136716.25064729224,0,[]
Lending,RociFi V2,0,119027.09576791592,119027.09576791592,0,[]
Lending,Commodo,0,110829.85293338206,110829.85293338206,0,[]
Lending,DebtDAO,0,92053.0,92053.0,0,[]
Lending,Pizza,0,87923.302,87923.302,0,[]
Lending,Euler,0,87557.16417999197,87557.16417999197,0,[]
Lending,Teller,0,83287.43990533242,83287.43990533242,0,[]
Lending,Aave Arc,0,59110.287735927406,59110.287735927406,0,[]
Lending,Timeswap V1,0,50100.273824684205,50100.273824684205,0,[]
Lending,Fringe,0,46219.910968279,46219.910968279,0,[]
Lending,Warp Protocol,0,42805.39776257725,42805.39776257725,0,[]
Lending,BondAppetit,0,40532.54,40532.54,0,[]
Lending,Multiplier,0,35337.80751402099,35337.80751402099,0,[]
Lending,Oxygen,0,31982.05908927837,31982.05908927837,0,[]
Lending,Augmented Finance,0,30412.95098868151,30412.95098868151,0,[]
Lending,RociFi V1,0,29755.780416161822,29755.780416161822,0,[]
Lending,DAOLama,0,25350.202363481258,25350.202363481258,0,[]
Lending,Wild Credit,0,24639.35815165958,24639.35815165958,0,[]
Lending,Hodltree,0,23120.664882931294,23120.664882931294,0,[]
Lending,OrcaDAO,0,22377.18384590052,22377.18384590052,0,[]
Lending,CHFRY Finance,0,18687.13400473073,18687.13400473073,0,[]
Lending,Everlend,0,16312.705797354249,16312.705797354249,0,[]
Lending,Edge Protocol,0,8711.931479314193,8711.931479314193,0,[]
Lending,Lending Pond,0,7387.078646999999,7387.078646999999,0,[]
Lending,BNPL Pay,0,5658.12578796428,5658.12578796428,0,[]
Lending,BonqDAO,0,4278.74560038488,4278.74560038488,0,[]
Lending,Chintai,0,1314.5548683990476,1314.5548683990476,0,[]
Lending,Stake1,0,951.540627311268,951.540627311268,0,[]
Lending,Metapoly,0,620.840744,620.840744,0,[]
Lending,DeFiner,0,574.9807824610115,574.9807824610115,0,[]
Lending,0xLend,0,315.863902560555,315.863902560555,0,[]
Lending,DeerFi,0,214.908445314398,214.908445314398,0,[]
Lending,BencuFi,0,202.60460518437,202.60460518437,0,[]
Lending,DeFIL,0,122.4496373143522,122.4496373143522,0,[]
Lending,Flux Protocol,0,60.48552790958286,60.48552790958286,0,[]
Lending,BaksDAO,0,53.221382610299,53.221382610299,0,[]
Lending,Soda Protocol,0,52.69439096032001,52.69439096032001,0,[]
Yield,Convex Finance,2,3171834486.401508,3170395394.480654,1439091.9208538963,"['Quoll', 'Muuu Finance']"
Yield,Aura,1,554646073.768636,522162703.5715391,32483370.19709694,['Wombex Finance']
Yield,Coinwind,0,209285482.53980052,209285482.53980052,0,[]
Yield,Conic Finance,0,116936476.37097657,116936476.37097657,0,[]
Yield,Pendle,0,94020756.05953108,94020756.05953108,0,[]
Yield,Sushi BentoBox,0,74057515.5419236,74057515.5419236,0,[]
Yield,Concentrator,0,62267087.50509592,62267087.50509592,0,[]
Yield,StakeDAO,0,61073828.609048896,61073828.609048896,0,[]
Yield,Homora V2,0,57047601.896093376,57047601.896093376,0,[]
Yield,Tranchess Yield,0,50117939.515823096,50117939.515823096,0,[]
Yield,Tetu Earn,0,39784728.89498033,39784728.89498033,0,[]
Yield,GND Protocol,0,31541598.45177032,31541598.45177032,0,[]
Yield,Tokemak,0,31496982.09193393,31496982.09193393,0,[]
Yield,Vector Finance,0,28813972.24299692,28813972.24299692,0,[]
Yield,ParaSpace APE Staking,0,27852169.71122749,27852169.71122749,0,[]
Yield,BendDAO APE Staking,0,22113715.892091427,22113715.892091427,0,[]
Yield,Llama Airforce,0,22020191.001594555,22020191.001594555,0,[]
Yield,Asymetrix Protocol,0,18678314.34258678,18678314.34258678,0,[]
Yield,Magpie,0,18398501.765258517,18398501.765258517,0,[]
Yield,Solo Top,0,17944645.597106874,17944645.597106874,0,[]
Yield,Quarry,0,14786708.675615177,14786708.675615177,0,[]
Yield,Francium,0,14155744.783087462,14155744.783087462,0,[]
Yield,PlutusDAO,0,13849616.57734114,13849616.57734114,0,[]
Yield,Bella Protocol,0,13300200.62296738,13300200.62296738,0,[]
Yield,Belt Finance,0,13221676.041056354,13221676.041056354,0,[]
Yield,Tulip Protocol,0,12704832.127995318,12704832.127995318,0,[]
